"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1980;"Nederlands Congresgebouw";"Sweden";"Tomas Ledin";"Just nu";8;10;10;;47;;"https://youtu.be/khv8TygskVU?si=0_EG2QBcUWYqtzyO";"https://music.apple.com/gb/album/just-nu/1434681438?i=1434681447";"https://open.spotify.com/track/65SBA09OxWed0kFLCyGzh8?si=7aec907d0a8048d2"
1981;"RDS Simmonscourt Pavilion";"Sweden";"Björn Skifs";"Fångad i en dröm";20;10;10;;50;;"https://youtu.be/a05rWLlRNJs?si=FsfT_SkiwrixfcTh";"https://music.apple.com/gb/album/f%C3%A5ngad-i-en-dr%C3%B6m/1236971657?i=1236971670";"https://open.spotify.com/track/5Vu25xkAIliFJTMpkXHPGh?si=2b22d437653e4c04"
1982;"Harrogate Conference Centre";"Sweden";"Chips";"Dag efter dag";9;8;8;;67;;"https://youtu.be/dwJjH79DMCA?si=-BmGJXjIHOasSdFv";"https://music.apple.com/gb/album/dag-efter-dag/205589716?i=205589719";"https://open.spotify.com/track/3hXD7RXINOZvVOyFisCdES?si=2297bab88e614121"
1983;"Rudi-Sedlmayer-Halle";"Sweden";"Carola Häggkvist";"Främling";4;3;3;;126;;"https://youtu.be/11eSswg_gGc?si=oILB9e0YpGzUknRn";"https://music.apple.com/gb/album/fr%C3%A4mling/406129428?i=406129431";"https://open.spotify.com/track/5V509Gq6b6JQcSVIfsHBVN?si=64319909e9644013"
1984;"Théâtre Municipal";"Sweden";"Herreys";"Diggi-Loo Diggi-Ley";1;1;1;;145;;"https://youtu.be/ySOCalwr6Yo?si=bGK46h7s3g3Ci9VK";"https://music.apple.com/gb/album/diggiloo-diggiley/440309285?i=440309422";"https://open.spotify.com/track/43ZypSE73gRNdAySQTzyfs?si=e4009a0d36b643b8"
1985;"Scandinavium";"Sweden";"Kikki Danielsson";"Bra vibrationer";16;3;3;;103;;"https://youtu.be/4HzLAePT-5E?si=KAMS6MfBHCsVx5Yg";"https://music.apple.com/gb/album/bra-vibrationer/205593156?i=205593160";"https://open.spotify.com/track/0FSlaiuv4eBrrjz05jpxz6?si=180b12b027cd4d81"
1986;"Grieghallen";"Sweden";"Lasse Holm and Monica Törnell";"E' de' det här du kallar kärlek";17;5;5;;78;;"https://youtu.be/um-g3YSQIwQ?si=qYzubjnGKYG1iGUw";"https://music.apple.com/gb/album/e-de-det-h%C3%A4r-du-kallar-k%C3%A4rlek/272488713?i=272488768";"https://open.spotify.com/track/5MBBQ7P9AozcQ8lF7So1B3?si=8c5b63c87e57405c"
1987;"Palais de Centenaire";"Sweden";"Lotta Engberg";"Boogaloo";6;11;11;;50;;"https://youtu.be/k4fathO9jYE?si=2LZNi_d-baAf9Bdo";"https://music.apple.com/gb/album/boogaloo-english-version/1559575413?i=1559575639";"https://open.spotify.com/track/3MObXOuLvbU0HT4CI0LpA3?si=73a860c8c6194830"
1988;"RDS Simmonscourt Pavilion";"Sweden";"Tommy Körberg";"Stad i ljus";2;12;12;;52;;"https://youtu.be/JhJ547PevjI?si=fOTrpNjMuxYk0WnS";"https://music.apple.com/gb/album/stad-i-ljus/324174314?i=324174317";"https://open.spotify.com/track/7bVwUOySQGO2afJ0LArAMi?si=ad83440718d24b91"
1989;"Palais de Beaulieu";"Sweden";"Tommy Nilsson";"En dag";10;4;4;;110;;"https://youtu.be/7dl1zoGU9sc?si=EBIa5qdVHQ-JniKJ";"https://music.apple.com/gb/album/en-dag/255787292?i=255787734";"https://open.spotify.com/track/4y81ov9ojdBPu5eLhDKxS9?si=96afa50eb09c4365"
