"year";"venue_name";"country_name";"artist_name";"song_name";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1989;"Palais de Beaulieu";"Italy";"Anna Oxa and Fausto Leali";"Avrei voluto";1;9;9;;56;;"https://youtu.be/J3lDsE4Ivjs?si=Ia2eOEpQLnzf9w0n";"https://music.apple.com/gb/album/avrei-voluto/279699577?i=279699689";"https://open.spotify.com/track/7JZ39R4QbcKf71f1wOHO3L?si=7ddcf24810a1441f"
1990;"Koncertna Dvorana Vatroslav Lisinski";"Italy";"Toto Cutugno";"Insieme: 1992";19;1;1;;149;;"https://youtu.be/JiRppGSF-tI?si=mtv9cQap_fpfjuQ3";"https://music.apple.com/gb/album/insieme-1992/1329254711?i=1329254875";"https://open.spotify.com/track/6pYmwoe7YnXwzcIkYNWeVh?si=2b6f233a199144cc"
1991;"Studio 15 di Cinecittà";"Italy";"Peppino di Capri";"Comme è ddoce 'o mare";22;7;7;;89;;"https://youtu.be/vZshMd8KlUM?si=jQ9_JEyDtl1aEAl-";"https://music.apple.com/gb/album/comm-e-ddoce-o-mare/281532833?i=281533121";"https://open.spotify.com/track/2iYylWTflDK6dy16mrO3ag?si=8677dadae28f4a0c"
1992;"Malmö Isstadion";"Italy";"Mia Martini";"Rapsodia";19;4;4;;111;;"https://youtu.be/-lHw8agCIIo?si=CeSGQykQJEavlm8o";"https://music.apple.com/gb/album/mia/1612198524?i=1612199205";
1993;"Green Glens Arena";"Italy";"Enrico Ruggeri";"Sole d'Europa";1;12;12;;45;;"https://youtu.be/c031tXnbdms?si=xCVYoWR8Ni7LQzyX";"https://music.apple.com/gb/album/sole-deuropa/297988327?i=297988503";"https://open.spotify.com/track/7IpYeJWyTuqpw3VVfA9dck?si=72b5eba683a24823"
1997;"Point Theatre";"Italy";"Jalisse";"Fiumi di parole";9;4;3;5;93;21;"https://youtu.be/ERmpIi9SBsI?si=6bqBTckRzy8i4jTw";"https://music.apple.com/gb/album/fiumi-di-parole/1179104883?i=1179106305";"https://open.spotify.com/track/5ZS9fcqcYtfL80rj1bf7Lb?si=a78d0d5dc2204e3d"
2011;"Düsseldorf Arena";"Italy";"Raphael Gualazzi";"Madness of Love";12;2;1;11;251;99;"https://youtu.be/vimdImSZYOI?si=y64cLWmrP3Jc3ZBI";"https://music.apple.com/gb/album/madness-of-love-gilles-peterson-remix/1523911331?i=1523912190";"https://open.spotify.com/track/6yrCcmE0CiQr0tc4pVy4Rw?si=e87c084aace9437b"
2012;"Baku Crystal Hall";"Italy";"Nina Zilli";"L'amore è femmina (Out of Love)";10;9;3;17;157;56;"https://youtu.be/v0kGpDEvtbQ?si=ZhA4rSHnk0v1_jty";"https://music.apple.com/gb/album/lamore-e-femmina/1442391193?i=1442391513";"https://open.spotify.com/track/1f3stUzR1X2tRMJRg5zEox?si=598f88de16fa4c8e"
2013;"Malmö Isstadion";"Italy";"Marco Mengoni";"L'essenziale";23;;8;10;;;"https://youtu.be/d6IiOSut_4M?si=HFAXR6JXab5WJ9iz";"https://music.apple.com/gb/album/lessenziale/734536457?i=734536533";"https://open.spotify.com/track/5klQSk2bLb0U3vnvGJUZf4?si=633a16e8be874d47"
2014;"B&W Hallerne";"Italy";"Emma";"La mia città";16;23;21;19;37;32;"https://youtu.be/8W5ZlalAMV8?si=4ky0tgYH7kaBMoYP";"https://music.apple.com/gb/album/la-mia-citt%C3%A0/967282138?i=967282519";"https://open.spotify.com/track/0DkS9GB9fVpgmIY0I87QOJ?si=c2acb167bf06405c"
