"sourceTable","artist","song","runningOrder","placed","placedJury","placedTelevote","placedDiff","totalPoints","pointsJury","pointsTelevote","pointsDiff","youtubeLink","appleMusicLink","spotifyLink"
"1957","Bob Martin","Wohin, kleines Pony?",5,8,8,,,3,3,,,"https://www.youtube.com/watch?v=tegONpmFvGY",,"https://open.spotify.com/track/0mLmt6DBB2QITlKPXLwSxn?si=cb816364f8db4717"
"1958","Liane Augustin","Die ganze Welt braucht Liebe",9,5,5,,,8,8,,,"https://youtu.be/AC5E7tl7juU?si=NicdJL_uudh41cel",,"https://open.spotify.com/track/17C4megGZBj2LGMxngDGfY?si=96b76b22e3c44d06"
"1959","Ferry Graf","Der K. und K. Kalypso aus Wien",9,8,8,,,4,4,,,"https://youtu.be/_PMFkXaW090?si=_cv_u5K-3X_NwkWu",,"https://open.spotify.com/track/3vds04DhVDdLqtgHwFA2GY?si=cb7ca2dee6134cac"
"1960","Harry Winter","Du hast mich so fasziniert",7,6,6,,,6,6,,,"https://youtu.be/wSdNep2GPUE?si=xXLeKKlB6dbml2q7",,"https://open.spotify.com/track/4mOfSR11z0ViIKAIqxymW7?si=05943c7b8be349ee"
"1961","Jimmy Makulis","Sehnsucht",3,12,12,,,1,1,,,"https://youtu.be/GYYr9pLQNOQ?si=VLnTFU8Oql98F7Fm",,"https://open.spotify.com/track/0HkkJBB3PnKdqSc4GClzml?si=34d3a9057520414b"
"1962","Eleonore Schwarz","Nur in der Wiener Luft",4,9,9,,,0,0,,,"https://youtu.be/1cRmfgPeK40?si=4rDU7J-Y6Teoe3d5",,"https://open.spotify.com/track/52VS1wnUiK0WTYfQXb13u6?si=b4f3ec6894744bef"
"1963","Carmela Corren","Vielleicht geschieht ein Wunder",4,6,6,,,16,16,,,"https://youtu.be/biJfeQaHZe0?si=JPnI7tdW7GfLnyjE",,
"1964","Udo Jürgens","Warum nur, warum?",6,5,5,,,11,11,,,"https://youtu.be/QE4IcCql8QA?si=enTFm3X43HMeoNfX","https://music.apple.com/gb/album/warum-nur-warum/250802589?i=250802590","https://open.spotify.com/track/231iiM3Zt82cVUjEUHFSZA?si=ddf0ba9a3c304288"
"1965","Udo Jürgens","Sag ihr, ich lass sie grüßen",6,4,4,,,16,16,,,"https://youtu.be/QE4IcCql8QA?si=18QmT_p1PfUJ-ZaF","https://music.apple.com/gb/album/sag-ihr-ich-la%C3%9F-sie-gr%C3%BC%C3%9Fen/250509161?i=250509241","https://open.spotify.com/track/7aacNMSobUYIDPk5hot0zZ?si=8d85058059d04c69"
"1966","Udo Jürgens","Merci, Chérie",9,1,1,,,31,31,,,"https://youtu.be/frtCOHgMvc8?si=N11cGdbX1T9u7rYp","https://music.apple.com/gb/album/merci-ch%C3%A9rie-original-version-von-1966/214477756?i=214478298","https://open.spotify.com/track/76F9Vq9AZjeqx6015lcZ3D?si=dec0fd7007a64541"
"1967","Peter Horton","Warum es hunderttausend Sterne gibt",3,11,11,,,2,2,,,"https://youtu.be/ZgnZfdkQ530?si=sIavTGYk8EdkbcVp",,
"1968","Karel Gott","Tausend Fenster",4,10,10,,,2,2,,,"https://youtu.be/XtGeIW8J5gc?si=iKcPyUey9GuZ3oJ_",,
"1971","Marianne Mendt","Musik",1,14,14,,,66,66,,,"https://youtu.be/kU-SlRlBZSQ?si=HsqvvKnpgSmW0omB",,
"1972","The Milestones","Falter im Wind",11,5,5,,,100,100,,,"https://youtu.be/VIOIBmiYsD4?si=oQRtBWbzphzZ2o-r",,
"1976","Waterloo and Robinson","My Little World",14,5,5,,,80,80,,,"https://youtu.be/qmdQ3cevwPY?si=sMlC1Y-6v7kqcxzW","https://music.apple.com/gb/album/my-little-world-german-version/1453938341?i=1453938344","https://open.spotify.com/track/3Yw8g06nmBa99FGgzsPbPh?si=1ff2c218d4a04c54"
"1977","Schmetterlinge","Boom Boom Boomerang",4,16,16,,,11,11,,,"https://youtu.be/HXyxrduUjyo?si=lT3UOCEuRd8UsSvR",,
