"TableName";"id";"country";"artist";"song";"countryId";"runningOrder";"placed";"placedJury";"placedTelevote";"placedDiff";"totalPoints";"pointsJury";"pointsTelevote";"pointsDiff";"youtubeLink";"appleMusicLink";"spotifyLink"
"1957";8;"Netherlands";"Corry Brokken";"Net als toen";6;6;1;1;;;31;31;;;"https://www.youtube.com/watch?v=gTQtjqotFAg";"https://music.apple.com/gb/album/net-als-toen/1124428655?i=1124428783";"https://open.spotify.com/track/1I9fugKDEYETuxJME3aesv?si=f0ab64909db641bd"
"1957";9;"Switzerland";"Lys Assia";"L'Enfant que j'étais";7;10;7;7;;;5;5;;;"https://www.youtube.com/watch?v=SiSnxD1tbVk";"https://music.apple.com/gb/album/lenfant-que-j%C3%A9tais/888477204?i=888477320";"https://open.spotify.com/track/01sQcEG7fSc0gj2pDuQjki?si=1b800996049943fb"
"1957";10;"United Kingdom";"Patricia Bredin";"All";10;3;6;6;;;6;6;;;"https://www.youtube.com/watch?v=LGHNEpTNcXU";;"https://open.spotify.com/track/4Sqs1vBhEoo3dfqMvUPhgh?si=fcc233e201ac4a22"
"1958";1;"Austria";"Liane Augustin";"Die ganze Welt braucht Liebe";8;9;5;5;;;8;8;;;"https://youtu.be/AC5E7tl7juU?si=NicdJL_uudh41cel";;"https://open.spotify.com/track/17C4megGZBj2LGMxngDGfY?si=96b76b22e3c44d06"
"1958";2;"Belgium";"Fud Leclerc";"Ma petite chatte";1;7;5;5;;;8;8;;;"https://youtu.be/i-k1TjSHSjU?si=V8OJ7A2R8B71_VUg";"https://music.apple.com/gb/album/ma-petite-chatte-feat-willy-albimoor-et-son-ensemble/921139029?i=921139034";"https://open.spotify.com/track/7f0mdKaCoMkTDmJSKk9Z75?si=4c9f637563a447fe"
"1958";3;"Denmark";"Raquel Rastenni";"Jeg rev et blad ud af min dagbog";9;6;7;7;;;3;3;;;"https://youtu.be/IGMLrLgVmR0?si=41g-cRkpAKuLpOD5";"https://music.apple.com/gb/album/jeg-rev-et-blad-ud-af-min-dagbog/695568830?i=695570329";"https://open.spotify.com/track/4VyjhCkR2HmfVtGt1l7pR2?si=0d5c54e784604c60"
"1958";4;"France";"André Claveau";"Dors mon amour";2;3;1;1;;;27;27;;;"https://youtu.be/5WA7yXkUuQw?si=Yj-l5kEoV4BHHPFs";"https://music.apple.com/gb/album/dors-mon-amour/777047997?i=777048041";"https://open.spotify.com/track/3kFXYCHBeJwYrwmpLYBdpT?si=10c4c62e32774b86"
"1958";5;"Germany";"Margot Hielscher";"Für zwei Groschen Musik";3;8;6;6;;;5;5;;;"https://youtu.be/MWBom51Xcrw?si=kQC1nu8NbW0Occzx";"https://music.apple.com/gb/album/f%C3%BCr-zwei-groschen-musik/655451929?i=655452430";"https://open.spotify.com/track/48nojSthHSaFO10qShtjYS?si=f852899326674937"
"1958";6;"Italy";"Domenico Modugno";"Nel blu, dipinto di blu";4;1;3;3;;;13;13;;;"https://youtu.be/9DPAb9-Stmo?si=RfQQl510HzmKaZ-A";"https://music.apple.com/gb/album/nel-blu-dipinto-di-blu/278646756?i=278646936";"https://open.spotify.com/track/5zyrEv4F3FaLECI8TOKpFM?si=b50d014210ff444a"
"1958";7;"Luxembourg";"Solange Berry";"Un grand amour";5;4;8;8;;;1;1;;;"https://youtu.be/si14zjMHrhI?si=Ez0w2KRvAIeibymm";;"https://open.spotify.com/track/4J3TVPuP3xDwhYAcRQV4O8?si=9b82bf5c75bc47f0"
"1958";8;"Netherlands";"Corry Brokken";"Heel de wereld";6;2;8;8;;;1;1;;;"https://youtu.be/yoiVXVA8fs8?si=qd-x0fY9d6EAM3kC";"https://music.apple.com/gb/album/heel-de-wereld/1553208117?i=1553208734";"https://open.spotify.com/track/6I0G0fiXZ81FgHTiXxPe2V?si=ea285ab1482b4fd8"
"1958";9;"Sweden";"Alice Babs";"Lilla stjärna";11;5;4;4;;;10;10;;;"https://youtu.be/f5DNvsB94uI?si=7-6UwHW2iGRskWeo";"https://music.apple.com/gb/album/lilla-stj%C3%A4rna/889660639?i=889660658";"https://open.spotify.com/track/1VrHijWfzrqYM9A76u1zBA?si=7374f8793ca6492d"
"1958";10;"Switzerland";"Lys Assia";"Giorgio";7;10;2;2;;;24;24;;;"https://youtu.be/gGsalvX8K4c?si=D8C6znfMw_M79w_r";"https://music.apple.com/gb/album/giorgio/1710315897?i=1710315909";"https://open.spotify.com/track/3Syp8BwV63wQRwwedcM5Am?si=650fac25a37840bd"
"1959";1;"Austria";"Ferry Graf";"Der K. und K. Kalypso aus Wien";8;9;8;8;;;4;4;;;"https://youtu.be/_PMFkXaW090?si=_cv_u5K-3X_NwkWu";;"https://open.spotify.com/track/3vds04DhVDdLqtgHwFA2GY?si=cb7ca2dee6134cac"
"1959";2;"Belgium";"Bob Benny";"Hou toch van mij";1;11;6;6;;;9;9;;;"https://youtu.be/VkxrfcoSwOs?si=p8G2cf7YRCRU1dAV";"https://music.apple.com/gb/album/hou-toch-van-mij/548453138?i=548453658";"https://open.spotify.com/track/6bFkXFZujrQBO4LGvmNv5D?si=ab2f9c0147264403"
"1959";3;"Denmark";"Birthe Wilke";"Uh, jeg ville ønske, jeg var dig";9;2;5;5;;;12;12;;;"https://youtu.be/0HkweMhGKG8?si=ab9i0hdabo2SkCCz";"https://music.apple.com/gb/album/uh-jeg-ville-%C3%B8nske-jeg-var-dig/340477567?i=340477837";"https://open.spotify.com/track/0mdmV8lDT7G3rUNoAmiEAg?si=50d4f9dccf1c4bb3"
"1959";4;"France";"Jean Philippe";"Oui oui oui oui";2;1;3;3;;;15;15;;;"https://youtu.be/S8muEiL3pyA?si=T_ihxwJVj6cR0Xus";"https://music.apple.com/gb/album/oui-oui-oui-oui/853770888?i=853771395";"https://open.spotify.com/track/57QRKgC5dqUqh9LWkuafl7?si=4143b240733a44da"
"1959";5;"Germany";"Alice and Ellen Kessler";"Heut' woll'n wir tanzen geh'n";3;6;7;7;;;5;5;;;"https://youtu.be/aJSN68U31l4?si=9lZ43WDEHTQYOe6B";;"https://open.spotify.com/track/1g6R2EnizTWcwuAKssrUCL?si=6691d86a7bec4cfb"
"1959";6;"Italy";"Domenico Modugno";"Piove";4;3;6;6;;;9;9;;;"https://youtu.be/n0enVNAU5sY?si=hMIDe1w7SDa1yVW3";"https://music.apple.com/gb/album/piove/924027650?i=924027735";"https://open.spotify.com/track/27S2WC5UIYWwMiHxLWwXAI?si=1a5ee26a0f484b89"
"1959";7;"Monaco";"Jacques Pills";"Mon ami Pierrot";12;4;9;9;;;1;1;;;"https://youtu.be/A8ciSsplQYQ?si=tAYrB1IdOOUoGwh3";;"https://open.spotify.com/track/5Bhj2761zwyBnClPTgE8Mm?si=ecf111aff2f6460f"
"1959";8;"Netherlands";"Teddy Scholten";"Een beetje";6;5;1;1;;;21;21;;;"https://youtu.be/nGAupVJSO0k?si=Qo4xwDZ0jltb3dBN";"https://music.apple.com/gb/album/n-beetje-remastered/541699279?i=541699670";"https://open.spotify.com/track/6fQfOgajFEdUTOvAQNoinK?si=10629f9d2e544976"
"1959";9;"Sweden";"Brita Borg";"Augustin";11;7;8;8;;;4;4;;;"https://youtu.be/BG_hh_f9ANg?si=yso5DhfMsnKCD5en";;"https://open.spotify.com/track/3Slc76uWyTN3eMt4L8aIv1?si=965e78583ca94962"
"1959";10;"Switzerland";"Christa Williams";"Irgendwoher";7;8;4;4;;;14;14;;;"https://youtu.be/xHb8J0Mw_oE?si=wbpxyDFAZcOor-zg";;"https://open.spotify.com/track/53zBk1K2D6pPImun8CPmdc?si=6495e7d465d946d9"
"1959";11;"United Kingdom";"Pearl Carr and Teddy Johnson";"Sing Little Birdie";10;10;2;2;;;16;16;;;"https://youtu.be/0m4ADnfu91k?si=WpGGwPQmfHeivmEP";"https://music.apple.com/gb/album/sing-little-birdie-1999-remastered-version/695997069?i=695997320";"https://open.spotify.com/track/6FvZaPSHempBB0y8DCOOnB?si=108927ef4d6f49a8"
"1960";1;"Austria";"Harry Winter";"Du hast mich so fasziniert";8;7;6;6;;;6;6;;;"https://youtu.be/wSdNep2GPUE?si=xXLeKKlB6dbml2q7";;"https://open.spotify.com/track/4mOfSR11z0ViIKAIqxymW7?si=05943c7b8be349ee"
