"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1995;"Point Theatre";"Poland";"Justyna";"Sama";1;17;17;;15;;"https://youtu.be/neM37hUsVDo?si=zJzP4t8nnNELGGtB";"https://music.apple.com/gb/album/sama-noc%C4%85/1389797504?i=1389797506";
1995;"Point Theatre";"Ireland";"Eddie Friel";"Dreamin'";2;13;13;;44;;"https://youtu.be/CRZxY4rLbvM?si=17Fa8MpAcFOihj3x";;
1995;"Point Theatre";"Germany";"Stone and Stone";"Verliebt in Dich";3;22;22;;1;;"https://youtu.be/3jGi32Xqg8g?si=YgD-nTrhYEdcaznI";;
1995;"Point Theatre";"Bosnia and Herzegovina";"Davor Popović";"Dvadeset prvi vijek";4;18;18;;14;;"https://youtu.be/fGYt_iYm4_g?si=M0NYz8NvTUKgS2Ku";"https://music.apple.com/gb/album/dvadeset-i-prvi-vijek/518579287?i=518579374";
1995;"Point Theatre";"Norway";"Secret Garden";"Nocturne";5;1;1;;148;;"https://youtu.be/6qqOI04uo_c?si=X09OFu0VCh-PMhYz";"https://music.apple.com/gb/album/nocturne/1388898247?i=1388899221";"https://open.spotify.com/track/6bk11TH82XrT5QUC1gDw9A?si=3f9b6cbe6c374c4a"
1995;"Point Theatre";"Russia";"Philipp Kirkorov";"Kolybelnaya dlya vulkana";6;16;16;;17;;"https://youtu.be/mZTZPE1mV2s?si=wbapOSqt2m7IrJaZ";;
1995;"Point Theatre";"Iceland";"Bo Halldórsson";"Núna";7;14;14;;31;;"https://youtu.be/2PSV5Bgot1A?si=LNmuxvgNfffvwdOi";;
1995;"Point Theatre";"Austria";"Stella Jones";"Die Welt dreht sich verkehrt";8;12;12;;67;;"https://youtu.be/Ta-dzguUpJY?si=v0wE-ltqlqfCe8GC";;
1995;"Point Theatre";"Spain";"Anabel Conde";"Vuelve conmigo";9;2;2;;119;;"https://youtu.be/p8nTjiEdI2c?si=PlbZoxpZDsrYLH71";"https://music.apple.com/gb/album/vuelve-conmigo/967703134?i=967703197";"https://open.spotify.com/track/1oVihSjSmKTVAdaR9f97rD?si=5c8c93824a904d4c"
1995;"Point Theatre";"Turkey";"Arzu Ece";"Sev!";10;15;15;;21;;"https://youtu.be/iAjz_UUTMoo?si=ez1S_ovSEp-tsGkg";;
1995;"Point Theatre";"Croatia";"Magazin and Lidija";"Nostalgija";11;6;6;;91;;"https://youtu.be/r2IG1jauOfI?si=-lfAfo1iYGPWc_wF";"https://music.apple.com/gb/album/nostalgija/414645708?i=414645825";"https://open.spotify.com/track/5fIR9CBppScSnKykoW7Rpo?si=e46436618c8844b5"
1995;"Point Theatre";"France";"Nathalie Santamaria";"Il me donne rendez-vous";12;4;4;;94;;"https://youtu.be/1v-0pJ3Cqjc?si=HqvZ9hE6QGYKd_wQ";;
1995;"Point Theatre";"Hungary";"Csaba Szigeti";"Új név egy régi ház falán";13;21;21;;3;;"https://youtu.be/hYSS_V4w3a8?si=kkpGHEo-jij9omA6";;
1995;"Point Theatre";"Belgium";"Frédéric Etherlinck";"La voix est libre";14;19;19;;8;;"https://youtu.be/YtcH83cV2Dg?si=VcUvm29iyIxCLbkN";;
1995;"Point Theatre";"United Kingdom";"Love City Groove";"Love City Groove";15;10;10;;76;;"https://youtu.be/58S5HVBDXbo?si=NuETrRYrU7sTdqf2";"https://music.apple.com/gb/album/love-city-groove-7-mix/1676471542?i=1676471543";"https://open.spotify.com/track/1IDlvetpIE4ScAv4pYPWOX?si=7bbc2be289d84bf2"
1995;"Point Theatre";"Portugal";"Tó Cruz";"Baunilha e chocolate";16;20;20;;5;;"https://youtu.be/JcEvZSxxU0I?si=Tik2ITGHh3_vBgYN";;
1995;"Point Theatre";"Cyprus";"Alexandros Panayi";"Sti fotia";17;9;9;;79;;"https://youtu.be/LMfRj5stHdI?si=LUmXxClH9cjMej4d";;
1995;"Point Theatre";"Sweden";"Jan Johansen";"Se på mej";18;3;3;;100;;"https://youtu.be/yyQ1k0KIDDk?si=hEgh1YHi2DFjBY-v";"https://music.apple.com/gb/album/se-pa-mig/329606569?i=329606605";"https://open.spotify.com/track/5E0DPn2m1oAigfof05lKmJ?si=9a505b6e1c27406a"
1995;"Point Theatre";"Denmark";"Aud Wilken";"Fra Mols til Skagen";19;5;5;;92;;"https://youtu.be/5shX3YM3Uho?si=dbtO7AamlwQ3x4ty";;
1995;"Point Theatre";"Slovenia";"Darja Švajger";"Prisluhni mi";20;7;7;;84;;"https://youtu.be/jqM3mAfztU8?si=B98TvPpqtblG_Auv";"https://music.apple.com/gb/album/prisluhni-mi/1572520439?i=1572520694";"https://open.spotify.com/track/5hD0KuFerCg0Qnn0VXMrNS?si=0e2b807f40794690"
1995;"Point Theatre";"Israel";"Liora";"Amen";21;8;8;;81;;"https://youtu.be/Gui9JWHsv-M?si=6VgLUnBtQfzVtoun";"https://music.apple.com/gb/album/amen-%D7%90%D7%9E%D7%9F/634909361?i=634909670";"https://open.spotify.com/track/3LWYlVbqpedIbxN83qjXAI?si=519356cd96ca4857"
1995;"Point Theatre";"Malta";"Mike Spiteri";"Keep Me in Mind";22;10;10;;76;;"https://youtu.be/8aN5J2baZ3w?si=IPpiATUfrGxijice";"https://music.apple.com/gb/album/keep-me-in-mind-esc-1995/843614305?i=843614337";"https://open.spotify.com/track/2Khe9HyqasSBy3xwkZQCco?si=97815acdbc1e477c"
1995;"Point Theatre";"Greece";"Elina Konstantopoulou";"Pia prosefhi";23;11;11;;68;;"https://youtu.be/SrTLEZZEChw?si=pV2pUX_bhwr8_ily";;
