"id","country","artist","song","countryId","runningOrder","placed","placedJury","placedTelevote","placedDiff","totalPoints","pointsJury","pointsTelevote","pointsDiff","youtubeLink","appleMusicLink","spotifyLink"
1,"Albania","Olta Boka","Zemrën e lamë peng",39,3,15,8,15,7,55,3,52,49,NULL,NULL,NULL
2,"Andorra","Gisela","Casanova",40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,"Armenia","Sirusho","Qélé, Qélé",45,5,4,3,4,1,199,8,191,183,NULL,NULL,NULL
4,"Azerbaijan","Elnur and Samir","Day After Day",50,20,8,11,8,3,132,0,132,132,NULL,NULL,NULL
5,"Belarus","Ruslan Alehno","Hasta la vista",41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,"Belgium","Ishtar","O Julissi",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,"Bosnia and Herzegovina","Laka","Pokušaj",26,6,10,11,10,1,110,0,110,110,NULL,NULL,NULL
8,"Bulgaria","Deep Zone and Balthazar","DJ, Take Me Away",43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,"Croatia","Kraljevi ulice and 75 Cents","Romanca",27,9,18,11,17,6,44,0,44,44,NULL,NULL,NULL
10,"Cyprus","Evdokia Kadi","Femme Fatale",24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,"Czech Republic","Tereza Kerndlová","Have Some Fun",46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,"Denmark","Simon Mathew","All Night Long",9,16,14,9,13,4,60,2,58,56,NULL,NULL,NULL
13,"Estonia","Kreisiraadio","Leto svet",29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
