"id","country","artist","song","countryId","runningOrder","placed","placedJury","placedTelevote","placedDiff","totalPoints","pointsJury","pointsTelevote","pointsDiff","youtubeLink","appleMusicLink","spotifyLink"
1,"Albania","Arilena Ara","Fall from the Sky",39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/vXpCWFIY6YE?si=3m5OGPNtgvewNzs7","https://music.apple.com/gb/album/fall-from-the-sky/1503220186?i=1503220187","https://open.spotify.com/track/0Y6JVcxzdXaNwHROjoyuww?si=6cc7d8ed39f24871"
2,"Armenia","Athena Manoukian","Chains on You",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/XpQHGMM8c5U?si=7t-ZO-YT-z2ELMGl","https://music.apple.com/gb/album/chains-on-you/1497877746?i=1497877747","https://open.spotify.com/track/25TXiqSP8luMwjvKU00EO3?si=b166644af71c475a"
3,"Australia","Montaigne","Don't Break Me",52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/gr-wWxu4974?si=KmrJVbGgjPGjhudv","https://music.apple.com/gb/album/dont-break-me/1495647631?i=1495647633","https://open.spotify.com/track/6m5AwSncp7jlXRYhs4cwOT?si=b9e5a0b6fb444929"
4,"Austria","Vincent Bueno","Alive",8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/cOuiTJlBC50?si=_nLyv92K2JZTZYoI","https://music.apple.com/gb/album/alive/1500683488?i=1500683489","https://open.spotify.com/track/59940eiexBFY9heVQjk32S?si=0da30f0766e34b0d"
5,"Azerbaijan","Efendi","Cleopatra",50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/I0VzBCvO1Wk?si=rQYKhI9P0dwjinwm","https://music.apple.com/gb/album/cleopatra/1502887890?i=1502887891","https://open.spotify.com/track/6Rt5DJgi7E2wETXueJF0XM?si=201434ed60b94cd9"
6,"Belarus","VAL","Da vidna",41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/F0wfxz5zq04?si=c4qq3lsBCUf9HeH6","https://music.apple.com/gb/album/da-vidna/1496538746?i=1496538747","https://open.spotify.com/track/2S82sSBWe86mi1EwNQl7kQ?si=5efd255fe07f461a"
7,"Belgium","Hooverphonic","Release Me",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/lAqjksxc4iA?si=ARxR9IrwT98fxM_l","https://music.apple.com/gb/album/release-me/1497287648?i=1497287652","https://open.spotify.com/track/3DxAwRSH1lhTneGRoWZyYq?si=6bed1e0af2b8448e"
8,"Bulgaria","Victoria","Tears Getting Sober",43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/V_hgYnwZR8I?si=NGOeyM0wXt1UnB__","https://music.apple.com/gb/album/tears-getting-sober/1555761800?i=1555761811","https://open.spotify.com/track/5PnNiSp1xeYI318WPHEIzP?si=4cea1b780e704999"
9,"Croatia","Damir Kedžo","Divlji vjetre",27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/2rOwScdxjJU?si=Eaauq1nnA7c3b3js","https://music.apple.com/gb/album/hasta-la-vista/1572121157?i=1572121158","https://open.spotify.com/track/0wFGlWGDcXAwjUof6cN2Re?si=ed4366ed9956491b"
10,"Cyprus","Sandro","Running",24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/Jl_qEw_4OK0?si=fCki_kpHBBlVd71G","https://music.apple.com/gb/album/running/1501754377?i=1501754379","https://open.spotify.com/track/00nykIwGMkrOZ815R6V9mD?si=56185dd8fb9043e4"
