"year";"venue";"country";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
2025;"St. Jakobshalle";"France";"Louane";;1;;;;;;;;
2025;"St. Jakobshalle";"Germany";"Abor & Tynna";"Baller";1;;;;;;"https://youtu.be/6BfRACNvdBQ?si=elYTh4A3cDSUXYMg";"https://music.apple.com/gb/album/baller/1774269312?i=1774269554";"https://open.spotify.com/track/4kbkYbhWNiSJraySknB4hD?si=019ccb95089f43e9"
2025;"St. Jakobshalle";"Italy";"Lucio Corsi";"Volevo Essere Un Duro";1;;;;;;"https://youtu.be/Bk8WsYLyVZc?si=lkpUmN9GUBs58FLb";"https://music.apple.com/gb/album/volevo-essere-un-duro/1794146711?i=1794146712";"https://open.spotify.com/track/5sFbAYktReH4AJbATsGAw8?si=cefbb307dab14b84"
2025;"St. Jakobshalle";"Spain";"Melody";"Esa Diva";1;;;;;;"https://youtu.be/H46FB-rLh04?si=c9eHi9KH32nuS3EI";"https://music.apple.com/gb/album/esa-diva/1782936322?i=1782936323";"https://open.spotify.com/track/5MOZUwlA3LPWFVhHNxWCfh?si=faa7898988844bef"
2025;"St. Jakobshalle";"Switzerland";"Zoë Më";;1;;;;;;;;
2025;"St. Jakobshalle";"United Kingdom";"Remember Monday";"What The Hell Just Happened?";1;;;;;;"https://youtu.be/-hu6R3ZnOdY?si=0J8MYZHIfAGmVUL1";"https://music.apple.com/gb/album/what-the-hell-just-happened/1797930154?i=1797930156";"https://open.spotify.com/track/0z64zsYHTmiTyddbFJ1S6y?si=33ea8aa62778408d"
2025;"St. Jakobshalle";"Albania";"Shkodra Elektronike";"Zjerm";;;;;;;"https://www.youtube.com/watch?v=RNT1SmmxuIk";"https://music.apple.com/gb/album/zjerm/1784283561?i=1784283562";"https://open.spotify.com/track/34ozWcKZQ0RvV9td8EHfXO?si=afb18a5ff072446a"
2025;"St. Jakobshalle";"Armenia";"PARG";"SURVIVOR";;;;;;;"https://youtu.be/zm-Kil8Hm9Q?si=U95_b9heYe5Z2El9";;
2025;"St. Jakobshalle";"Australia";"Go-Jo";"Milkshake Man";;;;;;;"https://youtu.be/_08I6mjHSLA?si=uIhdELrlOF5RSQLU";"https://music.apple.com/gb/album/milkshake-man/1798151412?i=1798151414";"https://open.spotify.com/track/0TWdO0ephIotzHvGuv2pGC?si=764e5028004c4f0c"
2025;"St. Jakobshalle";"Austria";"JJ";"Wasted Love";;;;;;;"https://www.youtube.com/watch?v=-ieSTNpxvio";"https://music.apple.com/gb/album/wasted-love/1797320538?i=1797320660";"https://open.spotify.com/track/321yySUTzRXUbzkRTeTzDB?si=9802a0c91aae417a"
2025;"St. Jakobshalle";"Azerbaijan";"Mamagama";"Run With U";;;;;;;"https://youtu.be/upbiPJ9uA70?si=CxkFVt_9p2qRe642";"https://music.apple.com/gb/album/run-with-u/1797288228?i=1797288711";"https://open.spotify.com/track/4NdNOrfHfNIprOJ3Uq1l43?si=fbe900fcc1d44497"
2025;"St. Jakobshalle";"Belgium";"Red Sebastian";"Strobe Lights";;;;;;;"https://youtu.be/oVrsnGFmuss?si=HkpFaMuOU8wFZx3u";"https://music.apple.com/gb/album/strobe-lights/1791066274?i=1791066277";"https://open.spotify.com/track/0Tx2AeVKiYQjk8u9p4j6kV?si=1b309fccefbe4260"
2025;"St. Jakobshalle";"Croatia";"Marko Bošnjak";"Poison Cake";;;;;;;"https://youtu.be/-XZn8qB1MTs?si=V5a4sNtyjiqEOfuw";"https://music.apple.com/gb/album/poison-cake/1787573233?i=1787573234";"https://open.spotify.com/track/0jtkkJ6Q0IB5iw5obHJDVl?si=a288736d43c445bd"
2025;"St. Jakobshalle";"Cyprus";"Theo Evan";;;;;;;;;;
2025;"St. Jakobshalle";"Czechia";"ADONXS";"Kiss Kiss Goodbye";;;;;;;"https://youtu.be/kpdQtYrEBTs?si=WBYlqtmq4mFBy4rm";"https://music.apple.com/gb/album/kiss-kiss-goodbye/1794358674?i=1794358680";"https://open.spotify.com/track/2ceIi1kJxozE30OURIMkfN?si=120641c07e5748c7"
