"sourceTable";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"placedDiff";"totalPoints";"pointsJury";"pointsTelevote";"pointsDiff";"youtubeLink";"appleMusicLink";"spotifyLink"
"1994";"Martin Ďurinda and Tublatanka";"Nekonečná pieseň";15;19;19;;;15;15;;;"https://youtu.be/qmuH_AIkGpY?si=aECn7uAMbHiTPjb0";"https://music.apple.com/gb/album/nekone%C4%8Dn%C3%A1-piese%C5%88/1676123999?i=1676124615";"https://open.spotify.com/track/5NbPUaxBmahOezjjRMWrQd?si=fdc4acefffc94938"
"1996";"Marcel Palonder";"Kým nás máš";22;16;16;;;19;19;;;"https://youtu.be/Dxoux7eEFIA?si=fNImlbYhqgvanx2J";;
"1998";"Katarína Hasprová";"Modlitba";6;20;15;19;4;8;0;8;8;"https://youtu.be/bHQqFDdSNeo?si=4ACKv2hVkHj0JVmS";"https://music.apple.com/gb/album/modlitba-2009/335093545?i=335094009";"https://open.spotify.com/track/5Hb81hUqFvtZ9MgNrA3J9L?si=4a12c998b15b4d0c"
"2009";"Kamil Mikulčík and Nela Pocisková";"Leť tmou";;;;;;;;;;;;
"2010";"Kristína";"Horehronie";;;;;;;;;;;;
"2011";"Twiins";"I'm Still Alive";20;12;4;21;17;199;160;39;121;;;
"2012";"Max Jason Mai";"Don't Close Your Eyes";;;;;;;;;;;;
