"year";"venue_name";"country_name";"artist_name";"song_name";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
2007;"Hartwall Arena";"Cyprus";"Evridiki";"Comme ci, comme ça";;;;;;;"https://youtu.be/bLpM5gMpUkI?si=-trZO71-1RRp4OPK";"https://music.apple.com/gb/album/come-ci-comme-ca/1340470863?i=1340470870";"https://open.spotify.com/track/2eXl1sMHC1RSgefh32FyRA?si=5c98363591d342c9"
2008;"Belgrade Arena";"Cyprus";"Evdokia Kadi";"Femme Fatale";;;;;;;"https://youtu.be/6m2HZD3eXfI?si=Nl3ZLtu8-SXAeYJh";;
2009;"Olimpiysky Arena";"Cyprus";"Christina Metaxa";"Firefly";;;;;;;"https://youtu.be/NeYGROG0mZc?si=qjEvdi9zwsg6zMBb";"https://music.apple.com/gb/album/firefly-eurovision-2009-cyprus-entry/310558776?i=310558783";"https://open.spotify.com/track/68SOVSRAH8Qf85hwQrlb9R?si=96624bc02c5b44bf"
2010;"Telenor Arena";"Cyprus";"Jon Lilygreen and the Islanders";"Life Looks Better in Spring";5;22;18;23;57;16;"https://youtu.be/ZGNtoR2hom4?si=Y2aEgBQjT2QvePXr";"https://music.apple.com/gb/album/life-looks-better-in-spring-international-mix/370412860?i=370412878";"https://open.spotify.com/track/58N5G89W3yFSqZytItT1Ah?si=c902a0cca2464daa"
2011;"Düsseldorf Arena";"Cyprus";"Christos Mylordos";"San aggelos s'agapisa";;;;;;;"https://youtu.be/RxkBW0ey5BU?si=y3_4ReTQNmOQ35FI";;
2012;"Baku Crystal Hall";"Cyprus";"Ivi Adamou";"La La Love";8;16;12;15;85;63;"https://youtu.be/ex133UhxB64?si=fG2szSPiNaDQcGD7";"https://music.apple.com/gb/album/la-la-love/500692738?i=500692739";"https://open.spotify.com/track/3rhnT5RoN7bvPUpMHt1aM9?si=8b8714c2838c49c7"
2013;"Malmö Isstadion";"Cyprus";"Despina Olympiou";"An me thimasai";;;;;;;"https://youtu.be/Ekx8mT-fR80?si=odrnaWNnNuKI59pN";"https://music.apple.com/gb/album/an-me-thimasai/623050251?i=623050644";"https://open.spotify.com/track/52oRvlSgzCBPPtbpO59cdM?si=565b0de6c9a143d5"
2015;"Wiener Stadthalle";"Cyprus";"John Karayiannis";"One Thing I Should Have Done";11;19;9;23;63;8;"https://youtu.be/RUNEoMBLGc8?si=QTIG3DTvdNmFknkS";"https://music.apple.com/gb/album/one-thing-i-should-have-done-promo-mix/978803461?i=978803792";"https://open.spotify.com/track/6Bcf7gRrDgWEZCJzeS26XS?si=132eb8184b354a9e"
2016;"Globe Arena";"Cyprus";"Minus One";"Alter Ego";14;21;20;15;43;53;"https://youtu.be/idUxTqmCFR0?si=8AXn7QBuA4o4Tlxp";"https://music.apple.com/gb/album/alter-ego/1092163062?i=1092163077";"https://open.spotify.com/track/6yj2sEcpIjR0fCHG9geuAZ?si=476daf77c2224981"
2017;"International Exhibition Centre";"Cyprus";"Hovig";"Gravity";19;21;20;14;36;32;"https://youtu.be/ZDe9FCLgE04?si=8ZjS5_KiuJjyvYBE";"https://music.apple.com/gb/album/gravity/1633068539?i=1633068545";"https://open.spotify.com/track/5JFHGnJYqOjUs42m7lgrP1?si=7cd1ab3e36e04268"
2018;"Lisbon Arena";"Cyprus";"Eleni Foureira";"Fuego";25;2;5;2;183;253;"https://youtu.be/vyDTbJ4wenY?si=M9xrI3JylTv3lxcT";"https://music.apple.com/gb/album/fuego-spanish-version/1386541148?i=1386542103";"https://open.spotify.com/track/22ppznuzVF9LKamaaqMMqu?si=90e46b704dba4597"
2019;"Expo Tel Aviv";"Cyprus";"Tamta";"Replay";11;13;11;20;77;32;"https://youtu.be/wIpEI-NhRxg?si=6nTO_sP1M3iPjMKj";"https://music.apple.com/gb/album/replay/1454794993?i=1454794998";"https://open.spotify.com/track/2UOyQB26wSQzM0jiTcUg50?si=6fdb1c9cd79443ca"
2020;"Rotterdam Ahoy";"Cyprus";"Sandro";"Running";;;;;;;"https://youtu.be/Jl_qEw_4OK0?si=fCki_kpHBBlVd71G";"https://music.apple.com/gb/album/running/1501754377?i=1501754379";"https://open.spotify.com/track/00nykIwGMkrOZ815R6V9mD?si=56185dd8fb9043e4"
2021;"Rotterdam Ahoy";"Cyprus";"Elena Tsagrinou";"El Diablo";1;16;16;15;50;44;"https://youtu.be/MgGc1F_cOE8?si=oYqLlEFXOLABt-ef";"https://music.apple.com/gb/album/el-diablo/1569831482?i=1569831485";"https://open.spotify.com/track/4TAttqXwjj56xZQVKvlX0K?si=3b6d8b56761e409f"
2022;"PalaOlimpico";"Cyprus";"Andromache";"Ela";;;;;;;"https://youtu.be/W2IUdTl-gAI?si=khOdvSJOW_efhZ1j";"https://music.apple.com/gb/album/ela/1668840685?i=1668840698";"https://open.spotify.com/track/70HQXHPuU7EyUroOYkOzdk?si=cbf4f77a94474be4"
2023;"Liverpool Arena";"Cyprus";"Andrew Lambrou";"Break a Broken Heart";7;12;13;11;68;58;"https://youtu.be/49YiimKeyDI?si=68N518EUdwCuHfb6";"https://music.apple.com/gb/album/break-a-broken-heart/1672649756?i=1672649758";"https://open.spotify.com/track/5dRAJ9UsR0qyMMKnonWewz?si=3a36c3443df147f5"
2024;"Malmö Isstadion";"Cyprus";"Silia Kapsis";"Liar";20;15;16;12;34;44;"https://youtu.be/8q5QozrtEPA?si=mGpnz3z2DXjxrMb2";"https://music.apple.com/gb/album/liar/1731356760?i=1731356763";"https://open.spotify.com/track/1ssBrm3EZb20Kb19roQIcy?si=afd31ced33e44414"
2025;"St. Jakobshalle";"Cyprus";"Theo Evan";"Shh";;;;;;;"https://youtu.be/rbfQqWyqgJw?si=DN4RiKxMVAwWXkUn";;"https://open.spotify.com/track/3mwqwFYIrO8hE3YBN8gk14?si=437116d0ae714e44"
