"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
2011;"Düsseldorf Arena";"Croatia";"Daria";"Celebrate";;;;;;;"https://youtu.be/wTJzolnObu0?si=b0iC3Xhl-HoN7xpI";"https://music.apple.com/gb/album/celebrate/432866868?i=432866872";"https://open.spotify.com/track/78Wrca7x1gtBUjmOMIxSXH?si=83593959248c47e7"
2012;"Baku Crystal Hall";"Croatia";"Nina Badrić";"Nebo";;;;;;;"https://youtu.be/QzdI4yuqwzY?si=5gwue741pWd_Rub1";"https://music.apple.com/gb/album/nebo/1422606289?i=1422606292";"https://open.spotify.com/track/6CNqu3IbgZX70HkUC0K5Ll?si=88c76e4a15cc4b1e"
2013;"Malmö Isstadion";"Croatia";"Klapa s Mora";"Mižerja";;;;;;;"https://youtu.be/FYm4sGd-qP0?si=Nc-vC5NYRZQ57I7e";"https://music.apple.com/gb/album/mi%C5%BEerja/1508338823?i=1508339458";"https://open.spotify.com/track/0nbkFxLZyA1TbLkVHLo1zY?si=f697bcd25372443a"
2016;"Globe Arena";"Croatia";"Nina Kraljić";"Lighthouse";17;23;21;19;40;33;"https://youtu.be/8QUM-_EbE2o?si=0LXT15mTR61saU4G";"https://music.apple.com/gb/album/lighthouse-eurovision-2016-croatia/1442955765?i=1442955776";"https://open.spotify.com/track/3Y4eME1XQsRVdChAoxhSxd?si=c3ea169cb08d4fef"
2017;"International Exhibition Centre";"Croatia";"Jacques Houdek";"My Friend";13;13;22;9;25;103;"https://youtu.be/4Sya_GIxsw0?si=BgatTTJ7oa0TuPGY";"https://music.apple.com/gb/album/my-friend/1211710261?i=1211710265";"https://open.spotify.com/track/59EEEMl22vP5wSnqjOYDM0?si=fb846c29982b4fec"
2018;"Lisbon Arena";"Croatia";"Franka";"Crazy";;;;;;;"https://youtu.be/YxBLFbW5BqE?si=UxMqHhjHzVD7c8_H";"https://music.apple.com/gb/album/crazy/1356348468?i=1356348469";"https://open.spotify.com/track/3C0Jl08p5aXD0MckMqBFmx?si=3316c65e3391487e"
2019;"Expo Tel Aviv";"Croatia";"Roko";"The Dream";;;;;;;"https://youtu.be/gXT5E8kUgfs?si=Db7TS7UL8HQvTRSS";"https://music.apple.com/gb/album/the-dream/1456539927?i=1456539928";"https://open.spotify.com/track/5H3QnsLU4k0tqGfiW6A6DW?si=24baeb741b5a420a"
2020;"Rotterdam Ahoy";"Croatia";"Damir Kedžo";"Divlji vjetre";;;;;;;"https://youtu.be/2rOwScdxjJU?si=Eaauq1nnA7c3b3js";"https://music.apple.com/gb/album/divlji-vjetre-eurovision-edit/1502982572?i=1502982573";"https://open.spotify.com/track/0wFGlWGDcXAwjUof6cN2Re?si=ed4366ed9956491b"
2021;"Rotterdam Ahoy";"Croatia";"Albina";"Tick-Tock";;;;;;;"https://youtu.be/vKdxjoNluzY?si=daeZzLwVcASFnTok";"https://music.apple.com/gb/album/tick-tock-local-version/1551496053?i=1551496191";"https://open.spotify.com/track/63Wv3KNxCfnuUIW988TyIl?si=44637f20bd814978"
2022;"PalaOlimpico";"Croatia";"Mia Dimšić";"Guilty Pleasure";;;;;;;"https://youtu.be/9vBQdtW3mJE?si=Jm2Fn2-ELnKtyIQr";"https://music.apple.com/gb/album/guilty-pleasure-eurovision-edit/1621524341?i=1621524342";"https://open.spotify.com/track/6MWUN34oNnK4FPBUlb7sdX?si=7436b1ea59c64ba4"
2023;"Liverpool Arena";"Croatia";"Let 3";"Mama ŠČ!";25;13;25;7;11;112;"https://youtu.be/hGuGfdEJ5Pw?si=LjC7y5dba_9i6jLo";"https://music.apple.com/gb/album/mama-%C5%A1%C4%8D/1666212901?i=1666212910";"https://open.spotify.com/track/7hcPebUUvJDRH6BhjZ5xEZ?si=2a210b9b7b91493b"
2024;"Malmö Isstadion";"Croatia";"Baby Lasagna";"Rim Tim Tagi Dim";23;2;3;1;210;337;"https://youtu.be/xTBrVNZtnys?si=oBmoHwc3-_Td9A0b";"https://music.apple.com/gb/album/rim-tim-tagi-dim/1725151020?i=1725151025";"https://open.spotify.com/track/5TswDbxMnxptgFTf6ZxvXQ?si=f20a944c017b4654"
