"sourceTable";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"placedDiff";"totalPoints";"pointsJury";"pointsTelevote";"pointsDiff";"youtubeLink";"appleMusicLink";"spotifyLink"
"1990";"Liam Reilly";"Somewhere in Europe";17;2;2;;;132;132;;;"https://youtu.be/SAjFewDxTFM?si=bM9quCC5zD6TBBzr";"https://music.apple.com/gb/album/somewhere-in-europe/1149208669?i=1149209097";"https://open.spotify.com/track/6e0rsdJadvSptYAC3RLPku?si=e15674d622e44ba2"
"1991";"Kim Jackson";"Could It Be That I'm in Love";11;9;9;;;47;47;;;"https://youtu.be/XiHvhx4o0uM?si=TG6uHi-_dtpx3FJs";;
"1992";"Linda Martin";"Why Me";17;1;1;;;155;155;;;"https://youtu.be/oTPtDFxQgn4?si=h4JhACKgn9wZMbF7";"https://music.apple.com/gb/album/why-me/363155272?i=363155322";"https://open.spotify.com/track/3Y81Q8dLI74Mgi1wbXvscv?si=aa610ef790094f57"
"1993";"Niamh Kavanagh";"In Your Eyes";14;1;1;;;187;187;;;"https://youtu.be/ysLHYx0c80s?si=y7_fvs1NRweORyKG";"https://music.apple.com/gb/album/in-your-eyes/348923947?i=348924038";"https://open.spotify.com/track/7LBBL20GLOtjBJwxgVmzPK?si=3d21b4a662cf49a6"
"1994";"Paul Harrington and Charlie McGettigan";"Rock 'n' Roll Kids";3;1;1;;;226;226;;;"https://youtu.be/1x_9JnCGXFY?si=fepnYvACZZcfEURR";"https://music.apple.com/gb/album/rock-n-roll-kids/212118827?i=212118856";"https://open.spotify.com/track/4qVX2nHuFlVNp6AOVrDBGb?si=e8c173ffc8b347a1"
"1995";"Eddie Friel";"Dreamin'";2;13;13;;;44;44;;;"https://youtu.be/CRZxY4rLbvM?si=17Fa8MpAcFOihj3x";;
"1996";"Eimear Quinn";"The Voice";17;1;1;;;162;162;;;"https://youtu.be/2qK0tZZ-FZI?si=S-TP7nXYfCpxy6QL";"https://music.apple.com/gb/album/the-voice/74409159?i=74409108";"https://open.spotify.com/track/6SA7BxY6zh5SaxUBp3tCtb?si=06737e4a107d4582"
"1997";"Marc Roberts";"Mysterious Woman";5;2;2;1;1;157;110;47;63;"https://youtu.be/GV_3B13Q3xs?si=lSWdxXxPZlQ4hTHP";"https://music.apple.com/gb/album/mysterious-woman/212118817?i=212119126";"https://open.spotify.com/track/1vogk8oxwXkl3pKKVAQmxT?si=1375563c79e843a4"
"1998";"Dawn Martin";"Is Always Over Now";13;9;2;10;8;64;22;42;20;"https://youtu.be/bGucxzkmI-U?si=NA7LnOOvcv9SLqyP";;
"1999";"The Mullans";"When You Need Me";17;15;6;19;13;18;13;5;8;"https://youtu.be/2RWGVuvCCIs?si=R59XEpPW3lGGWqxK";;
"2000";"Eamonn Toal";"Millennium of Love";23;6;9;4;5;92;13;79;66;"https://youtu.be/XzyVv2uIa4s?si=HZhdA2GHv5Vp19e8";"https://music.apple.com/gb/album/millennium-of-love/1633555476?i=1633555477";"https://open.spotify.com/track/7kG3nv4PDzzpWtMA3kS30q?si=ac17c939062b4e23"
"2001";"Gary O'Shaughnessy";"Without Your Love";12;20;15;18;3;6;0;6;6;"https://youtu.be/1SLEkOX9ZLY?si=HRxIivJ8xjXB1fMp";;
"2003";"Mickey Harte";"We've Got the World";3;10;16;11;5;53;0;53;53;"https://youtu.be/h-ugWuJsugI?si=RMp5QJ6TibOcyWUk";"https://music.apple.com/gb/album/weve-got-the-world/266855362?i=266855783";"https://open.spotify.com/track/0ZO6ZOgVzJyZbmauzo5HEK?si=71f68a9ff7d64aba"
"2004";"Chris Doran";"If My World Stopped Turning";18;20;;20;;7;;7;;"https://youtu.be/DpHuREDD798?si=tfuZ_VjfX3NB1TeW";"https://music.apple.com/gb/album/if-my-world-stopped-turning/500294184?i=500294185";"https://open.spotify.com/track/6J5tuBQIenXHMHDIbeVAya?si=e874c31bfb054e0c"
"2005";"Donna and Joe";"Love?";;;;;;;;;;;;
"2006";"Brian Kennedy";"Every Song Is a Cry for Love";21;10;3;10;7;93;10;83;73;;;
"2007";"Dervish";"They Can't Stop the Spring";4;23;7;24;17;5;5;0;5;;;
"2008";"Dustin the Turkey";"Irelande Douze Pointe";;;;;;;;;;;;
"2009";"Sinéad Mulvey and Black Daisy";"Et Cetera";;;;;;;;;;;;
"2010";"Niamh Kavanagh";"It's for You";10;21;15;22;7;77;62;15;47;;;
"2011";"Jedward";"Lipstick";6;9;6;9;3;220;119;101;18;;;
"2012";"Jedward";"Waterline";23;18;22;9;13;103;14;89;75;;;
"2013";"Ryan Dolan";"Only Love Survives";26;25;;;;;;;;;;
"2014";"Can-linn feat. Kasey Smith";"Heartbeat";;;;;;;;;;;;
"2015";"Molly Sterling";"Playing with Numbers";;;;;;;;;;;;
"2016";"Nicky Byrne";"Sunlight";;;;;;;;;;;;
"2017";"Brendan Murray";"Dying to Try";;;;;;;;;;;;
"2018";"Ryan O'Shaughnessy";"Together";24;16;13;16;3;136;74;62;12;;;
"2019";"Sarah McTernan";"22";;;;;;;;;;"https://youtu.be/lX7DT9GMHQM?si=AyPmLVCjruWWmTNy";"https://music.apple.com/gb/album/22/1457575481?i=1457575485";"https://open.spotify.com/track/3ZBeBPho2tpNn6vHcic9Jd?si=87b32e618cb84db4"
"2020";"Lesley Roy";"Story of My Life";;;;;;;;;;"https://youtu.be/HLgE0Ayl5Hc?si=tkDELKTVXRbwTdTY";"https://music.apple.com/gb/album/story-of-my-life/1502388582?i=1502388600";"https://open.spotify.com/track/2yPBpQ622XzDq0BzbqpXeF?si=525a17f4bd234cba"
"2021";"Lesley Roy";"Maps";;;;;;;;;;"https://youtu.be/FY2rxbZNvZ0?si=OGBcHnCIcc_AdqAK";"https://music.apple.com/gb/album/maps/1554533921?i=1554534049";"https://open.spotify.com/track/3OFGkaztvfjW0McKujTzdI?si=157a1bf44ad54536"
"2022";"Brooke";"That's Rich";;;;;;;;;;"https://youtu.be/Kq2AJrWm04s?si=wN9iY8n7wpd-Nzn0";"https://music.apple.com/gb/album/thats-rich/1613375632?i=1613375635";"https://open.spotify.com/track/1oS41M8cx60aAeNe3k5Csw?si=a96e8c14382f44a3"
"2023";"Wild Youth";"We Are One";;;;;;;;;;"https://youtu.be/80-4_rjW10U?si=sGVJvm-2hQpbQ0EN";"https://music.apple.com/gb/album/we-are-one-eurovision-song-contest-edit/1709047610?i=1709047611";"https://open.spotify.com/track/5AkEgrj433NMHrJvn7oASj?si=682ae297aea44dc6"
"2024";"Bambie Thug";"Doomsday Blue";;;;;;;;;;"https://youtu.be/ZGRXRrlIspY?si=AcUAPel8n7w1_OvF";"https://music.apple.com/gb/album/doomsday-blue/1709266722?i=1709267030";"https://open.spotify.com/track/7qiEoVlFjb3KaytT2zgK1g?si=434cde945f384b14"
