"id","country","artist","song","countryId","runningOrder","placed","placedJury","placedTelevote","placedDiff","totalPoints","pointsJury","pointsTelevote","pointsDiff","youtubeLink","appleMusicLink","spotifyLink"
1,"Austria","Bob Martin","Wohin, kleines Pony?",8,5,8,8,,,3,3,,,"https://www.youtube.com/watch?v=tegONpmFvGY",,"https://open.spotify.com/track/0mLmt6DBB2QITlKPXLwSxn?si=cb816364f8db4717"
2,"Belgium","Bobbejaan Schoepen","Straatdeuntje",1,1,7,7,,,5,5,,,"https://www.youtube.com/watch?v=mu8ueVHTb9k","https://music.apple.com/gb/album/straatdeuntje-1957/411915354?i=411915722","https://open.spotify.com/track/3BM3vLAbeECkvyWWS3qdGK?si=51ad3b6f5b034863"
3,"Denmark","Birthe Wilke and Gustav Winckler","Skibet skal sejle i nat",9,9,3,3,,,10,10,,,"https://www.youtube.com/watch?v=vX3WRMF5TuY","https://music.apple.com/gb/album/skibet-skal-sejle-i-nat-m-birthe-wilke/687085598?i=687085603","https://open.spotify.com/track/0AoTZzRibPkpz7seGaC56r?si=11a70d0468a34313"
4,"France","Paule Desjardins","La Belle amour",2,8,2,2,,,17,17,,,"https://www.youtube.com/watch?v=g2-XDnBHEbc","https://music.apple.com/gb/album/la-belle-amour-feat-paul-durand-et-son-orchestre/912970999?i=912971046","https://open.spotify.com/track/5fZE54IpQqL4qOzkzx9i8n?si=dcf429afd96b4146"
5,"Germany","Margot Hielscher","Telefon, Telefon",3,7,4,4,,,8,8,,,"https://www.youtube.com/watch?v=10lsFbkF7t8",,"https://open.spotify.com/track/21Rc1BtK7weDmW2caDLWus?si=1c3250c1ccb54971"
6,"Italy","Nunzio Gallo","Corde della mia chitarra",4,4,5,5,,,7,7,,,"https://www.youtube.com/watch?v=3Ofli5AZpq4","https://music.apple.com/gb/album/corde-della-mia-chitarra/1489664221?i=1489664222","https://open.spotify.com/track/6oESFgSxgJCaYA7Ln4r3t7?si=f52c6dfc7bc84345"
7,"Luxembourg","Danièle Dupré","Tant de peine",5,2,4,4,,,8,8,,,"https://www.youtube.com/watch?v=-0nMxZ8L1cI",,"https://open.spotify.com/track/3g4Pmtk3Up0NCYRFqcEPsQ?si=07f45f1afe21460c"
8,"Netherlands","Corry Brokken","Net als toen",6,6,1,1,,,31,31,,,"https://www.youtube.com/watch?v=gTQtjqotFAg","https://music.apple.com/gb/album/net-als-toen/1124428655?i=1124428783","https://open.spotify.com/track/1I9fugKDEYETuxJME3aesv?si=f0ab64909db641bd"
9,"Switzerland","Lys Assia","L'Enfant que j'étais",7,10,7,7,,,5,5,,,"https://www.youtube.com/watch?v=SiSnxD1tbVk","https://music.apple.com/gb/album/lenfant-que-j%C3%A9tais/888477204?i=888477320","https://open.spotify.com/track/01sQcEG7fSc0gj2pDuQjki?si=1b800996049943fb"
10,"United Kingdom","Patricia Bredin","All",10,3,6,6,,,6,6,,,"https://www.youtube.com/watch?v=LGHNEpTNcXU",,"https://open.spotify.com/track/4Sqs1vBhEoo3dfqMvUPhgh?si=fcc233e201ac4a22"
