"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1982;"Harrogate Conference Centre";"Norway";"Jahn Teigen and Anita Skorgan";"Adieu";3;12;12;;40;;"https://youtu.be/AN8ZuJh1fY4?si=vyHlbcKWoxT_1YrA";"https://music.apple.com/gb/album/adieu-1991-remastered-version/690815658?i=690815743";"https://open.spotify.com/track/4KJoSbhv7MrqZ8Sy2m1BSK?si=a40773d7c77a4f1e"
1983;"Rudi-Sedlmayer-Halle";"Norway";"Jahn Teigen";"Do Re Mi";2;9;9;;53;;"https://youtu.be/J-H0hl7nfew?si=9thTO_LLur7bzPZv";"https://music.apple.com/gb/album/do-re-mi-remastered-2009/690513924?i=690514344";"https://open.spotify.com/track/4DIAnMYbz4df57zZwsfAOb?si=573dcc910a404637"
1984;"Théâtre Municipal";"Norway";"Dollie de Luxe";"Lenge leve livet";5;17;17;;29;;"https://youtu.be/hgHMvSG4-yw?si=e9a378x_eJRGJEPU";"https://music.apple.com/gb/album/lenge-leve-livet/314320038?i=314320143";"https://open.spotify.com/track/2m9BngLZzITq9TDjbXdUYY?si=558e5196eb874330"
1985;"Scandinavium";"Norway";"Bobbysocks!";"La det swinge";13;1;1;;123;;"https://youtu.be/6h2-QFbtXtM?si=nQZJhFtHhqCdLpqh";"https://music.apple.com/gb/album/la-det-swinge/976264832?i=976265487";"https://open.spotify.com/track/6xl0RmyknMLlpNY3QPfSxK?si=2c36347c6bfb4d21"
1986;"Grieghallen";"Norway";"Ketil Stokkan";"Romeo";4;12;12;;44;;"https://youtu.be/NUbWiay_BSc?si=DDY1KsvzjsIUBidj";"https://music.apple.com/gb/album/romeo-2011-mgp-1986/470904916?i=470904927";"https://open.spotify.com/track/429qQ4xFguviC9zv2BH2Wj?si=76f3b8a6ac244f68"
1987;"Palais de Centenaire";"Norway";"Kate Gulbrandsen";"Mitt liv";1;9;9;;65;;"https://youtu.be/pSvYltrdjQk?si=f8DaL4aN3L5M33rQ";"https://music.apple.com/gb/album/mitt-liv/1673601057?i=1673601074";"https://open.spotify.com/track/3k5OROWCO1y95A0kbzB1U3?si=1b6bb8f497b44bc7"
1988;"RDS Simmonscourt Pavilion";"Norway";"Karoline Krüger";"For vår jord";15;5;5;;88;;"https://youtu.be/XLHA8jaFX7M?si=36LSeMWq4Z-U8zAf";"https://music.apple.com/gb/album/for-v%C3%A5r-jord/296141116?i=296141190";"https://open.spotify.com/track/2vL91cQuCDEvH4kCeQomMp?si=14eee12569e345a9"
1989;"Palais de Beaulieu";"Norway";"Britt Synnøve Johansen";"Venners nærhet";8;17;17;;30;;"https://youtu.be/DGIUODWyzD4?si=uixtXcZNmk_aUxtS";;
1990;"Koncertna Dvorana Vatroslav Lisinski";"Norway";"Ketil Stokkan";"Brandenburger Tor";9;21;21;;8;;"https://youtu.be/Gu9W1NsuDfI?si=ETYSnrVDa3Qlmpbe";"https://music.apple.com/gb/album/brandenburger-tor-2011-mgp-1990/470904916?i=470904928";"https://open.spotify.com/track/6M2dqEwrCqYWYuCNtrgxq9?si=9ece46e049a9486b"
1991;"Studio 15 di Cinecittà";"Norway";"Just 4 Fun";"Mrs. Thompson";14;17;17;;14;;"https://youtu.be/hY_90Qil2Ns?si=qJDRBD8UWIiaRfC8";;
1992;"Malmö Isstadion";"Norway";"Merethe Trøan";"Visjoner";21;18;18;;23;;"https://youtu.be/O7FafVtJdyQ?si=Ux8hyH_cB0962hgJ";"https://music.apple.com/gb/album/visjoner/1680131305?i=1680131510";"https://open.spotify.com/track/7txy4mbFNUIwHIKCpVc9hX?si=0835764ac9ac4c4d"
1993;"Green Glens Arena";"Norway";"Silje Vige";"Alle mine tankar";25;5;5;;120;;"https://youtu.be/QrX98Kf1w-E?si=EG8EA__wzlhXaEPv";"https://music.apple.com/gb/album/alle-mine-tankar/296207041?i=296207062";"https://open.spotify.com/track/5VTuKkNF4MRQg6VMIBLOBW?si=8b66d7d65d0949f4"
1994;"Point Theatre";"Norway";"Elisabeth Andreasson and Jan Werner Danielsen";"Duett";17;6;6;;76;;"https://youtu.be/LyV0jlrtQBs?si=-YgJB4JizoBq12Xf";"https://music.apple.com/gb/album/duett/1444401249?i=1444401465";"https://open.spotify.com/track/2YIOKzGsGdPEVQNjYO8Zra?si=196ed3ba1cf64627"
1995;"Point Theatre";"Norway";"Secret Garden";"Nocturne";5;1;1;;148;;"https://youtu.be/6qqOI04uo_c?si=X09OFu0VCh-PMhYz";"https://music.apple.com/gb/album/nocturne/1388898247?i=1388899221";"https://open.spotify.com/track/6bk11TH82XrT5QUC1gDw9A?si=3f9b6cbe6c374c4a"
1996;"Oslo Spektrum";"Norway";"Elisabeth Andreassen";"I evighet";12;2;2;;114;;"https://youtu.be/L3tthxma94o?si=ARKTayluBaTDhVKa";"https://music.apple.com/gb/album/i-evighet/367955583?i=367955664";"https://open.spotify.com/track/6pQjDpj3dKFgbOcA4yAG9r?si=e21957d0340b470c"
1997;"Point Theatre";"Norway";"Tor Endresen";"San Francisco";3;24;24;18;0;0;"https://youtu.be/2zt-P-J8vYI?si=pKZFqyvG3Y64PN6k";"https://music.apple.com/gb/album/san-francisco/1062012548?i=1062012794";"https://open.spotify.com/track/5YXG7ZXvVAzT7yxT5EUp3C?si=fc6b672418784c24"
1998;"National Indoor Arena";"Norway";"Lars A. Fredriksen";"Alltid sommer";22;7;10;7;5;74;"https://youtu.be/pfMXlzT9vTU?si=aoY4mpUyS7UhzYyH";;
1999;"International Convention Center";"Norway";"Van Eijk";"Living My Life Without You";8;14;17;11;3;32;"https://youtu.be/UxffwUHTYhM?si=ZF0S9IYsLn1mPZCU";;
2000;"Globe Arena";"Norway";"Charmed";"My Heart Goes Boom";8;11;11;9;16;41;"https://youtu.be/gNP7VPSBICc?si=qoCpq6llEaLB99m2";;
2001;"Parken Stadium";"Norway";"Haldor Lægreid";"On My Own";4;22;18;22;0;3;"https://youtu.be/t7onuhcUkDw?si=yQERtKkHOt70saRS";"https://music.apple.com/gb/album/on-my-own/968913879?i=968913887";"https://open.spotify.com/track/3d1jFD6GZdBev8CVsuHZkU?si=254887fc3ce74304"
2003;"Skonto Olympic Hall";"Norway";"Jostein Hasselgård";"I'm Not Afraid to Move On";18;4;4;4;16;107;"https://youtu.be/PrlRI8FyGdA?si=zUAPGFkwfGOWcRGQ";;
2004;"Abdi İpekçi Arena";"Norway";"Knut Anders Sørum";"High";3;24;;24;;3;"https://youtu.be/1_0JT8ne6_0?si=qnUM8d_BCPg9Zwr6";"https://music.apple.com/gb/album/high/296945018?i=296945049";"https://open.spotify.com/track/67M9GPx6rvTO6zjrzVhEzr?si=6f35adf6c633425e"
2005;"Palace of Sports";"Norway";"Wig Wam";"In My Dreams";5;8;14;7;5;120;"https://youtu.be/w07N2nfB7KY?si=YKWnIW_EcZh09uBN";"https://music.apple.com/gb/album/in-my-dreams/1451404065?i=1451404069";"https://open.spotify.com/track/3mo7Bshd0l134VBaaVgVb3?si=b6f547c3ebab4dcb"
2006;"Olympic Indoor Hall";"Norway";"Christine Guldbrandsen";"Alvedansen";5;14;17;14;1;35;"https://youtu.be/LIaFyFGWgnw?si=HsmZZjiczSbqpVB7";"https://music.apple.com/gb/album/alvedansen-esc-version/1622390283?i=1622390591";"https://open.spotify.com/track/4LzDyi8rjnbV6f6CR1Sq7N?si=67cff919617c4151"
2007;"Hartwall Arena";"Norway";"Guri Schanke";"Ven a bailar conmigo";;;;;;;"https://youtu.be/hNjMDNxNIr4?si=7jl5hwPFz4gS8AP0";"https://music.apple.com/gb/album/ven-a-bailar-conmigo/1442668328?i=1442668447";"https://open.spotify.com/track/5bXM19OwYUHrAISrVnYjxi?si=b7aac26247324165"
2008;"Belgrade Arena";"Norway";"Maria";"Hold On Be Strong";25;5;4;5;7;175;"https://youtu.be/arSnpxfOD2k?si=guyldlmjiHdWb3WJ";"https://music.apple.com/gb/album/hold-on-be-strong/1442237049?i=1442237150";"https://open.spotify.com/track/674mIXeX6ucMlhyLWgzvdP?si=9444a4a281724f1c"
2009;"Olimpiysky Arena";"Norway";"Alexander Rybak";"Fairytale";20;1;1;1;312;378;"https://youtu.be/WXwgZL4zx9o?si=m988glC_tQfh6_xo";"https://music.apple.com/gb/album/fairytale/1592544649?i=1592544660";"https://open.spotify.com/track/37lYrZzmbRiEySPGkiGjXA?si=c6e2a6b4dc6b44ac"
2010;"Telenor Arena";"Norway";"Didrik Solli-Tangen";"My Heart Is Yours";3;20;17;21;61;18;"https://youtu.be/9w527tADNpc?si=2toAZuHAHGyprjS7";"https://music.apple.com/gb/album/my-heart-is-yours/1439190173?i=1439190174";"https://open.spotify.com/track/6goCLerItGxMQ5kWGVxclD?si=44a07bcbe0094ddf"
2011;"Düsseldorf Arena";"Norway";"Stella Mwangi";"Haba Haba";;;;;;;"https://youtu.be/cRhJzdDFFHA?si=YGXsY87yBHXDitMF";"https://music.apple.com/gb/album/haba-haba-eurovision-2011-norway/693196147?i=693196378";"https://open.spotify.com/track/0Dg8snKvHkZTkDFQIL7rRG?si=e7504c1f144846f4"
2012;"Baku Crystal Hall";"Norway";"Tooji";"Stay";12;26;24;24;24;16;"https://youtu.be/-ZaxIY1VAbM?si=iQUaVocoH4fAq-u-";"https://music.apple.com/gb/album/stay/997044865?i=997044866";"https://open.spotify.com/track/2EMatUZHGgDWHCTysxZ8nP?si=b3a6ceea435a4043"
2013;"Malmö Isstadion";"Norway";"Margaret Berger";"I Feed You My Love";24;;4;6;;;"https://youtu.be/tc6a4EV63uM?si=ZjgeAs7TMrbJYH7V";"https://music.apple.com/gb/album/i-feed-you-my-love/647632791?i=647632982";"https://open.spotify.com/track/0fRzfoXUkwqGy8C9gqBIJH?si=7519261bcc6f4549"
2014;"B&W Hallerne";"Norway";"Carl Espen";"Silent Storm";5;11;9;16;102;39;"https://youtu.be/BTMli8U17MM?si=W0tIo7pLVD6c2WFJ";"https://music.apple.com/gb/album/silent-storm/1475013840?i=1475013841";"https://open.spotify.com/track/04x7Wpz4C1Jz0n02Z3T6QN?si=c0c2690b1a7843ae"
2015;"Wiener Stadthalle";"Norway";"Mørland and Debrah Scarlett";"A Monster Like Me";9;7;7;17;163;43;"https://youtu.be/vY1FCXDojMU?si=D_BpR4zIffd2bOJF";"https://music.apple.com/gb/album/a-monster-like-me-singback-feat-debrah-scarlett/978997993?i=978997994";"https://open.spotify.com/track/1CM0HC2WnIVCo8eYSh3yRW?si=49f73ab5c3ae47dc"
2016;"Globe Arena";"Norway";"Agnete";"Icebreaker";;;;;;;"https://youtu.be/ACLcqZMwCSo?si=UTi6OSu8HVRo4lNr";"https://music.apple.com/gb/album/icebreaker/1079410489?i=1079410497";"https://open.spotify.com/track/13HG0RJm6LyYRGDV0mTD9h?si=7c738f7556554a33"
2017;"International Exhibition Centre";"Norway";"Jowst";"Grab the Moment";17;10;6;15;129;29;"https://youtu.be/U-Bk0PCotY0?si=zl0-fAf_TVGojyOg";"https://music.apple.com/gb/album/grab-the-moment/1202983501?i=1202983740";"https://open.spotify.com/track/7CiatbFJpSnXnbCiVaGlm0?si=0f19d60dbcab4bd6"
2018;"Lisbon Arena";"Norway";"Alexander Rybak";"That's How You Write a Song";7;15;16;11;60;84;"https://youtu.be/N17BdRwOvBA?si=lSKalwBpoDkvkQ-Z";"https://music.apple.com/gb/album/thats-how-you-write-a-song/1328986174?i=1328986178";"https://open.spotify.com/track/4RgfBil6aN3o26M8t3KjGH?si=9a907885b3cf44fd"
2019;"Expo Tel Aviv";"Norway";"Keiino";"Spirit in the Sky";15;6;18;1;40;291;"https://youtu.be/Ovt7YGHAj8I?si=cteVDfP14SrrONqw";"https://music.apple.com/gb/album/spirit-in-the-sky/1447881024?i=1447881025";"https://open.spotify.com/track/7B7O5jgFpWfc9orZw6FN4K?si=37eb039b01b94dbd"
2020;"Rotterdam Ahoy";"Norway";"Ulrikke";"Attention";;;;;;;"https://youtu.be/o9atJbnqhJU?si=U5bND9zLA5lJXgPb";"https://music.apple.com/gb/album/attention/1494166177?i=1494166180";"https://open.spotify.com/track/3Irt43mvuVwozBsllZlKCf?si=f8cc56fa40ba4e46"
2021;"Rotterdam Ahoy";"Norway";"Tix";"Fallen Angel";22;18;22;13;15;60;"https://youtu.be/F0r3vmGLzZU?si=FEAZUtuvLlTkHVZu";"https://music.apple.com/gb/album/fallen-angel/1554121729?i=1554121906";"https://open.spotify.com/track/1ISMa0THMDKFBq2UMfm02e?si=ed3b2b0e5a354289"
2022;"PalaOlimpico";"Norway";"Subwoolfer";"Give That Wolf a Banana";7;10;17;7;36;146;"https://youtu.be/adCU2rQyDeY?si=dz3PN08cy5ojHEGC";"https://music.apple.com/gb/album/give-that-wolf-a-banana/1601480323?i=1601480613";"https://open.spotify.com/track/50Cf2eYv8zT3v2HAkwhIiL?si=a963e3b8ab144d64"
2023;"Liverpool Arena";"Norway";"Alessandra";"Queen of Kings";20;5;17;3;52;216;"https://youtu.be/PUHSM_vTqTI?si=lVt5-tQVvrZJtlxD";"https://music.apple.com/gb/album/queen-of-kings/1661148199?i=1661148211";"https://open.spotify.com/track/14LdhxElpZS0rKVV4nxtdA?si=d96f9df4031b46a5"
2024;"Malmö Isstadion";"Norway";"Gåte";"Ulveham";14;25;23;24;12;4;"https://youtu.be/UipzszlJwRQ?si=Z2CY6lYaZIkcCR6U";"https://music.apple.com/gb/album/ulveham/1728647453?i=1728647470";"https://open.spotify.com/track/6awPQdcqY8IYdHzqhEYm3s?si=0a378f51f95b49ef"
