"id","country","artist","song","countryId","runningOrder","placed","placedJury","placedTelevote","placedDiff","totalPoints","pointsJury","pointsTelevote","pointsDiff","youtubeLink","appleMusicLink","spotifyLink"
1,"Belgium","Fud Leclerc","Messieurs les noyés de la Seine",1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.youtube.com/watch?v=qFgBJwyKSGg",NULL,NULL
2,"Belgium","Mony Marc","Le Plus Beau Jour de ma vie",1,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.youtube.com/watch?v=9ICOEka_Jqg",NULL,NULL
3,"France","Mathé Altéry","Le Temps perdu",2,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.youtube.com/watch?v=x1e8gPquGVY",NULL,NULL
4,"France","Dany Dauberson","Il est là",2,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.youtube.com/watch?v=9PG4gAPxs18",NULL,NULL
5,"Germany","Freddy Quinn","So geht das jede Nacht",3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.youtube.com/watch?v=eZIdJT1POUA","https://music.apple.com/gb/album/so-geht-das-jede-nacht/619820489?i=619820492",NULL
6,"Germany","Walter Andreas Schwarz","Im Wartesaal zum großen Glück",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.youtube.com/watch?v=EfZ6_7iNBqs","https://music.apple.com/gb/album/im-wartesaal-zum-gro%C3%9Fen-gl%C3%BCck/253394176?i=253394181",NULL
7,"Italy","Franca Raimondi","Aprite le finestre",4,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.youtube.com/watch?v=OuVmJmW-8wo","https://music.apple.com/gb/album/aprite-le-finestre/905902582?i=905903069",NULL
8,"Italy","Tonina Torrielli","Amami se vuoi",4,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.youtube.com/watch?v=NXcu6HnrYI4","https://music.apple.com/gb/album/amami-se-vuoi/781403447?i=781403513",NULL
9,"Luxembourg","Michèle Arnaud","Les Amants de minuit",5,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.youtube.com/watch?v=n8esgCRxMzs","https://music.apple.com/gb/album/les-amants-de-minuit/921750628?i=921750767",NULL
10,"Luxembourg","Michèle Arnaud","Ne Crois Pas",5,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.youtube.com/watch?v=S62mHHz2ajc","https://music.apple.com/gb/album/ne-crois-pas/697182162?i=697182892",NULL
11,"Netherlands","Corry Brokken","Voorgoed voorbij",6,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.youtube.com/watch?v=jD7bOZBj3Wo","https://music.apple.com/gb/album/voorgoed-voorbij/1178864133?i=1178864692",NULL
12,"Netherlands","Jetty Paerl","De vogels van Holland",6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.youtube.com/watch?v=u45UQVGRVPA",NULL,NULL
13,"Switzerland","Lys Assia","Das alte Karussell",7,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.youtube.com/watch?v=lVpf8uzHnX0","https://music.apple.com/gb/album/das-alte-karussell/479762769?i=479762771",NULL
14,"Switzerland","Lys Assia","Refrain",7,9,1,1,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.youtube.com/watch?v=11gRqqnYenA","https://music.apple.com/gb/album/refrain/924070561?i=924075016",NULL
