"sourceTable";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"placedDiff";"totalPoints";"pointsJury";"pointsTelevote";"pointsDiff";"youtubeLink";"appleMusicLink";"spotifyLink"
"1997";"Kølig Kaj";"Stemmen i mit liv";21;15;16;9;7;25;15;10;5;"https://youtu.be/8o4JS_EWiJo?si=5uu12ofXqY8loHqW";"https://music.apple.com/gb/album/stemmen-i-mit-liv/690590292?i=690591426";"https://open.spotify.com/track/324qUNJiRbaVHSOsPIrkGW?si=b9be33edc9eb46cb"
"1999";"Trine Jepsen and Michael Teschl";"This Time I Mean It";9;8;9;9;0;71;7;64;57;"https://youtu.be/y3ZONZeWlgU?si=k4xerwAwYoRX9sb4";;
"2000";"Olsen Brothers";"Fly on the Wings of Love";14;1;1;1;0;195;36;159;123;"https://youtu.be/F-JwiYlg5Gc?si=n-b7Vqx5ZQYDi_Jl";"https://music.apple.com/gb/album/fly-on-the-wings-of-love/690981280?i=690981282";"https://open.spotify.com/track/33frkbGSt6bbfj2Nqo9i1p?si=1ac205f516cb4d34"
"2001";"Rollo and King";"Never Ever Let You Go";23;2;7;2;5;177;16;161;145;"https://youtu.be/sig2Pv-gb9g?si=LRUrT04wfgxIwJQd";"https://music.apple.com/gb/album/never-ever-let-you-go/1250452265?i=1250452787";"https://open.spotify.com/track/7mx6IZujrnfHLBmqcIOxIe?si=86ba587c4bb44fe1"
"2002";"Malene";"Tell Me Who You Are";14;21;19;21;2;7;2;5;3;"https://youtu.be/BZYnmqCJ7zI?si=dJPUsC_W1wmUjwjy";;
"2004";"Tomas Thordarson";"Shame on You";;;;;;;;;;"https://youtu.be/RJ8ow0_GYBQ?si=ci82x4mvVR3RwYS4";"https://music.apple.com/gb/album/shame-on-you/1611186726?i=1611186750";"https://open.spotify.com/track/258vRpGokVIPvOqrDhdUHe?si=e65550bea52e4cae"
"2005";"Jakob Sveistrup";"Talking to You";13;9;4;8;4;119;13;106;93;"https://youtu.be/JgQ242v8iVs?si=OBrLP6198hTX4T50";;
"2006";"Sidsel Ben Semmane";"Twist of Love";9;15;12;15;3;26;0;26;26;;;
"2007";"DQ";"Drama Queen";;;;;;;;;;;;
"2008";"Simon Mathew";"All Night Long";16;14;9;13;4;60;2;58;56;;;
"2009";"Brinck";"Believe Again";16;12;6;19;13;160;120;40;80;;;
"2010";"Chanée and N'evergreen";"In a Moment like This";25;4;7;3;4;295;121;174;53;;;
"2011";"A Friend in London";"New Tomorrow";3;7;3;17;14;229;168;61;107;;;
