"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
2014;"B&W Hallerne";"Slovenia";"Tinkara Kovač";"Round and Round";17;24;24;25;21;15;"https://youtu.be/CiwM1sY3u0s?si=a0VevCHl1fc-CzWN";;
2015;"Wiener Stadthalle";"Slovenia";"Maraaya";"Here for You";1;17;12;19;48;27;"https://youtu.be/y1c7gDOaFY0?si=LQ6_4WVR8FFgrngT";"https://music.apple.com/gb/album/here-for-you/1020620481?i=1020620742";"https://open.spotify.com/track/0Es5TMIKrTH3bLf0wk0sut?si=66c54d9cc45248f6"
2016;"Globe Arena";"Slovenia";"ManuElla";"Blue and Red";;;;;;;"https://youtu.be/ulI3F1T82is?si=LFiq2RVRSSdh0RdI";"https://music.apple.com/gb/album/blue-and-red/1722082568?i=1722082573";"https://open.spotify.com/track/5GXgQj1HyQPBpKHXJSfDc6?si=3e2ddc8fab384fb2"
2017;"International Exhibition Centre";"Slovenia";"Omar Naber";"On My Way";;;;;;;"https://youtu.be/vbGub2klcV4?si=OOxO4UkAxQjFsAJw";"https://music.apple.com/gb/album/on-my-way/1445037012?i=1445037027";"https://open.spotify.com/track/1yyzu2HEoj1HduUEHYi8Lu?si=8c231e2d1a75477b"
2018;"Lisbon Arena";"Slovenia";"Lea Sirk";"Hvala, ne!";3;22;19;21;41;23;"https://youtu.be/fBU0_hfST_o?si=foBRnf3X24NdutnU";"https://music.apple.com/gb/album/hvala-ne/1355442388?i=1355442399";"https://open.spotify.com/track/28J9JZ6boWgzviW7Ut3TMN?si=a9c3cbbbb5554858"
2019;"Expo Tel Aviv";"Slovenia";"Zala Kralj and Gašper Šantl";"Sebi";10;15;15;11;46;59;"https://youtu.be/vGtPNQ6g6Ng?si=mYKPmaIQXYJmodkk";"https://music.apple.com/gb/album/sebi-dare-to-dream-version/1454734653?i=1454734673";"https://open.spotify.com/track/5g9mbYv5JL9AIa9lKw2EHJ?si=cf9e07e1cdbc4973"
2020;"Rotterdam Ahoy";"Slovenia";"Ana Soklič";"Voda";;;;;;;"https://youtu.be/weLeotNwexg?si=PIyujqFl_A7nq5xS";"https://music.apple.com/gb/album/voda-esc-2020/1504198416?i=1504198417";"https://open.spotify.com/track/1ZONLdkZ9qXNtgQhGSbz5u?si=a94cbb4f1b074c6b"
2021;"Rotterdam Ahoy";"Slovenia";"Ana Soklič";"Amen";;;;;;;"https://youtu.be/J9jWDxKQ50s?si=jjGPWPbenM25tTkH";"https://music.apple.com/gb/album/amen/1566094263?i=1566094358";"https://open.spotify.com/track/5jPAKeFrXZiSB91WujvLAz?si=d6f4fec30bcc4052"
2022;"PalaOlimpico";"Slovenia";"LPS";"Disko";;;;;;;"https://youtu.be/S1tFqoflsT8?si=6nxYNyKwQ8PT76EG";"https://music.apple.com/gb/album/disko/1616142461?i=1616142462";"https://open.spotify.com/track/5bx4DPSuvBUn6luswgF7Ez?si=f80679879df94b8c"
2023;"Liverpool Arena";"Slovenia";"Joker Out";"Carpe Diem";24;21;19;16;33;45;"https://youtu.be/3LXlPviGiWc?si=zfY94VEpfM-NEzfr";"https://music.apple.com/gb/album/carpe-diem/1669480989?i=1669481299";"https://open.spotify.com/track/14ibwN44PVKuvEqLiaNkKu?si=9253376f2297456f"
2024;"Malmö Isstadion";"Slovenia";"Raiven";"Veronika";22;23;21;21;15;12;"https://youtu.be/uWcSsi7SliI?si=pZtcHlvSDmYpqWOi";"https://music.apple.com/gb/album/veronika/1725470419?i=1725470423";"https://open.spotify.com/track/5M2L5RqF8zRvFwPUrQ1tX6?si=261ee8ae93094571"
2025;"Basel";"Slovenia";"Klemen";"How Much Time Do We Have Left?";;;;;;;"https://youtu.be/fsCc3ukABOA?si=VfCg9ZA6MMDY_a3A";"https://music.apple.com/gb/album/how-much-time-do-we-have-left/1793535327?i=1793535343";"https://open.spotify.com/track/104QgPphJUPg86IWYnAnL7?si=0b1ddd86573549e7"
