"year";"venue_name";"country_name";"artist_name";"song_name";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1979;"International Convention Center";"Belgium";"Micha Marah";"Hey Nana";12;18;18;;5;;"https://youtu.be/kHKjdkduPNI?si=TEFcN_2f9pb8qsTg";"https://music.apple.com/gb/album/hey-nana/1694200754?i=1694200966";"https://open.spotify.com/track/5QM7S1zXH2wj3YqPT2QTnF?si=cc44a8aa08be4a5e"
1980;"Nederlands Congresgebouw";"Belgium";"Telex";"Euro-Vision";19;17;17;;14;;"https://youtu.be/6USa0zUMmqI?si=q18ui0hUutbViDPH";"https://music.apple.com/gb/album/euro-vision-remastered/1548471187?i=1548471208";"https://open.spotify.com/track/0myHEpMRupkIiaOklZqKAY?si=ad73cdf7067c46bc"
1981;"RDS Simmonscourt Pavilion";"Belgium";"Emly Starr";"Samson";16;19;19;;0;;"https://youtu.be/SODUziCgyLY?si=9IuUmeaXe6VPZu7l";"https://music.apple.com/gb/album/samson-flemish-version/1635815258?i=1635815518";"https://open.spotify.com/track/47JNzxipRYFJFtDId2G5jR?si=20c0e97b789b464b"
1982;"Harrogate Conference Centre";"Belgium";"Stella";"Si tu aimes ma musique";11;4;4;;96;;"https://youtu.be/rQzi3RZ3hZk?si=WDdovYeK7VUUqJOI";;
1983;"Rudi-Sedlmayer-Halle";"Belgium";"Pas de Deux";"Rendez-vous";19;18;18;;13;;"https://youtu.be/JRfve3wHYUY?si=cBt__Pbwoh9vO5TY";"https://music.apple.com/gb/album/rendez-vous-french-version-remastered/1495565282?i=1495565369";"https://open.spotify.com/track/2yiRFZJN4TbyYpkKeLSYpz?si=e9c6fe02fb3f4495"
1984;"Théâtre Municipal";"Belgium";"Jacques Zegers";"Avanti la vie";8;5;5;;70;;"https://youtu.be/31pqZcjVoic?si=yU4VBQffCV7_LQtJ";"https://music.apple.com/gb/album/avanti-la-vie/307668369?i=307668380";"https://open.spotify.com/track/2s0NUFo02OS4aOMBmjczQg?si=bf588dc157034f91"
1985;"Scandinavium";"Belgium";"Linda Lepomme";"Laat me nu gaan";8;19;19;;7;;"https://youtu.be/Q_cmu9MU9a0?si=sc4Xr3VaOgzBYQGm";"https://music.apple.com/gb/album/laat-me-nu-gaan/1470162982?i=1470163166";"https://open.spotify.com/track/6UkYDk7TbcBfO4uorMksKd?si=0cf1384f7f14490d"
1986;"Grieghallen";"Belgium";"Sandra Kim";"J'aime la vie";13;1;1;;176;;"https://youtu.be/7NH6SYRgp1s?si=rIq1bu33IwpNUvAx";"https://music.apple.com/gb/album/jaime-la-vie-no-1-eurovision-song-contest-1986/490312723?i=490312851";"https://open.spotify.com/track/5opXus6JIe9UD94Qk24RYB?si=40de2978b3d24b63"
1987;"Palais de Centenaire";"Belgium";"Liliane Saint-Pierre";"Soldiers of Love";5;11;11;;56;;"https://youtu.be/b6zTCaIXoPE?si=Fy_v3Bd9UvOIchVs";"https://music.apple.com/gb/album/soldiers-of-love/1247382357?i=1247382358";"https://open.spotify.com/track/6s6kTSOh76tC2litBaxcCx?si=315a039b58564157"
1988;"RDS Simmonscourt Pavilion";"Belgium";"Reynaert";"Laissez briller le soleil";16;18;18;;5;;"https://youtu.be/vcqGekjH-tQ?si=JWgmQp2a9pw6iroa";;
1989;"Palais de Beaulieu";"Belgium";"Ingeborg";"Door de wind";6;19;19;;13;;"https://youtu.be/YHYos8Auy7M?si=95kRwRtI-nu1g4vc";"https://music.apple.com/gb/album/door-de-wind/373076198?i=373076261";"https://open.spotify.com/track/5eAOvEd5GqKdRTgNYsAAmW?si=eaf4f9eb17194449"
1990;"Koncertna Dvorana Vatroslav Lisinski";"Belgium";"Philippe Lafontaine";"Macédomienne";3;12;12;;46;;"https://youtu.be/9Uv-gigdb8o?si=MGNub9QyH1C06YQF";"https://music.apple.com/gb/album/mac%C3%A9domienne-eurovision-1990/1448022452?i=1448022458";"https://open.spotify.com/track/2B7ZnHMgayT9EEV5qN2YqV?si=6395ba00863f45a1"
1991;"Studio 15 di Cinecittà";"Belgium";"Clouseau";"Geef het op";18;16;16;;23;;"https://youtu.be/lPq4lGJAemI?si=JyZek4E3FshoTmkf";"https://music.apple.com/gb/album/geef-het-op/1273804125?i=1273804141";"https://open.spotify.com/track/16U1Mtn8eRI8mWSIHrNaxU?si=8b9390ee0dda4974"
1992;"Malmö Isstadion";"Belgium";"Morgane";"Nous on veut des violons";2;20;20;;11;;"https://youtu.be/CA87nQYuWVk?si=a2Hva3QiZwQWfjQe";;
1993;"Green Glens Arena";"Belgium";"Barbara";"Iemand als jij";7;25;25;;3;;"https://youtu.be/RsDkQqjVP0I?si=a8WeBVsC8iQLNOqA";"https://music.apple.com/gb/album/iemand-als-jij/1673764248?i=1673764260";"https://open.spotify.com/track/55nhHjKI51viFnJoL955Wj?si=675b0ec3c49d41d6"
